Tabela 5 - Área e Produção de Cereais, Leguminosas e Oleaginosas;;;;;;;;;;;;
Brasil, Grandes Regiões e Unidades da Federação;;;;;;;;;;;;
Mês: Janeiro 2023;;;;;;;;;;;;
Unidades da Federação;Área (ha);;;Partic %;Var %;;Produção (t);;;partic %;Var %;
;2022;3º Prognóstico;Janeiro;;Anual;Mensal;2022;3º Prognóstico;Janeiro;;Anual;Mensal
BRASIL;73 243 659;75 256 436;75 793 895;100.0;3.5;0.7;263 154 606;296 209 338;301 953 765;100.0;14.7;1.9
;;;;;;;;;;;;
NORTE;4 048 632;4 263 818;4 266 547;5.6;5.4;0.1;13 515 880;15 004 956;15 022 031;5.0;11.1;0.1
RONDÔNIA;847 193;924 492;925 019;1.2;9.2;0.1;3 359 810;3 630 381;3 639 782;1.2;8.3;0.3
ACRE;55 892;63 416;63 461;0.1;13.5;0.1;165 281;184 329;186 191;0.1;12.7;1.0
AMAZONAS;16 928;16 928;16 928;0.0;0.0;0.0;31 369;31 153;31 153;0.0;-0.7;0.0
RORAIMA;51 827;51 827;51 827;0.1;0.0;0.0;169 589;171 972;171 972;0.1;1.4;0.0
PARÁ;1 324 681;1 333 488;1 335 645;1.8;0.8;0.2;3 977 902;4 147 368;4 153 180;1.4;4.4;0.1
AMAPÁ;11 060;20 060;20 060;0.0;81.4;0.0;21 565;42 450;42 450;0.0;96.8;0.0
TOCANTINS;1 741 051;1 853 607;1 853 607;2.4;6.5;0.0;5 790 364;6 797 303;6 797 303;2.3;17.4;0.0
;;;;;;;;;;;;
NORDESTE;8 702 978;8 951 210;8 923 207;11.8;2.5;-0.3;25 415 131;25 882 364;25 877 868;8.6;1.8;-0.0
MARANHÃO;1 764 853;1 850 431;1 850 399;2.4;4.8;-0.0;5 991 576;6 404 502;6 404 721;2.1;6.9;0.0
PIAUÍ;1 740 631;1 816 632;1 816 632;2.4;4.4;0.0;5 926 000;6 586 993;6 586 993;2.2;11.2;0.0
CEARÁ;965 978;1 030 707;1 002 745;1.3;3.8;-2.7;671 140;557 397;541 490;0.2;-19.3;-2.9
RIO GRANDE DO NORTE;103 051;88 921;88 921;0.1;-13.7;0.0;56 914;48 379;48 379;0.0;-15.0;0.0
PARAÍBA;173 574;175 630;175 630;0.2;1.2;0.0;102 910;154 756;154 756;0.1;50.4;0.0
PERNAMBUCO;343 455;343 455;343 455;0.5;0.0;0.0;268 491;178 937;178 937;0.1;-33.4;0.0
ALAGOAS;49 200;96 045;96 036;0.1;95.2;-0.0;105 057;170 787;181 979;0.1;73.2;6.6
SERGIPE;183 503;170 656;170 656;0.2;-7.0;0.0;931 336;791 808;791 808;0.3;-15.0;0.0
BAHIA;3 378 733;3 378 733;3 378 733;4.5;0.0;0.0;11 361 707;10 988 805;10 988 805;3.6;-3.3;0.0
;;;;;;;;;;;;
SUDESTE;6 595 632;6 634 620;6 634 655;8.8;0.6;0.0;27 827 543;28 105 866;28 105 923;9.3;1.0;0.0
MINAS GERAIS;3 999 304;4 074 594;4 074 594;5.4;1.9;0.0;17 050 708;17 593 212;17 593 212;5.8;3.2;0.0
ESPÍRITO SANTO;25 210;26 478;26 478;0.0;5.0;0.0;62 825;71 925;71 925;0.0;14.5;0.0
RIO DE JANEIRO;3 747;3 824;3 859;0.0;3.0;0.9;13 681;14 009;14 066;0.0;2.8;0.4
SÃO PAULO;2 567 371;2 529 724;2 529 724;3.3;-1.5;0.0;10 700 329;10 426 720;10 426 720;3.5;-2.6;0.0
;;;;;;;;;;;;
SUL;22 157 815;22 461 747;22 353 365;29.5;0.9;-0.5;65 701 673;89 288 628;91 064 662;30.2;38.6;2.0
PARANÁ;10 779 286;10 764 058;10 655 676;14.1;-1.1;-1.0;33 336 435;43 109 891;44 885 925;14.9;34.6;4.1
SANTA CATARINA;1 452 678;1 418 523;1 418 523;1.9;-2.4;0.0;6 074 067;6 834 740;6 834 740;2.3;12.5;0.0
RIO GRANDE DO SUL;9 925 851;10 279 166;10 279 166;13.6;3.6;0.0;26 291 171;39 343 997;39 343 997;13.0;49.6;0.0
;;;;;;;;;;;;
CENTRO-OESTE;31 738 602;32 945 041;33 616 121;44.4;5.9;2.0;130 694 379;137 927 524;141 883 281;47.0;8.6;2.9
MATO GROSSO DO SUL;6 196 250;6 279 881;6 279 881;8.3;1.3;0.0;22 039 447;24 595 552;24 595 552;8.1;11.6;0.0
MATO GROSSO;18 935 855;20 009 250;20 648 519;27.2;9.0;3.2;80 686 020;84 518 316;88 547 452;29.3;9.7;4.8
GOIÁS;6 437 197;6 484 110;6 515 921;8.6;1.2;0.5;27 262 772;27 986 510;27 913 131;9.2;2.4;-0.3
DISTRITO FEDERAL;169 300;171 800;171 800;0.2;1.5;0.0;706 140;827 146;827 146;0.3;17.1;0.0
;;;;;;;;;;;;
FONTE: IBGE, Diretoria de Pesquisas, Coordenação Agropecuária, Levantamento Sistemático da Produção Agrícola, Jan/2023;;;;;;;;;;;;
NOTAS: Para as Unidades da Federação que ainda não dispõem das estimativas iniciais, os dados correspondem à uma;;;;;;;;;;;;
projeção obtida a partir das informações de anos anteriores;;;;;;;;;;;;
Área colhia ou a ser colhida e produção obtida ou a ser obtida;;;;;;;;;;;;
Produtos investigados: algodão (caroço de algodão), amendoim, arroz, aveia, centeio, cevada, feijão, girassol,;;;;;;;;;;;;
mamona, milho, soja, sorgo, trigo e triticale.;;;;;;;;;;;;
