Tabela 5 - Área e Produção de Cereais, Leguminosas e Oleaginosas;;;;;;;;;;;;
Brasil, Grandes Regiões e Unidades da Federação;;;;;;;;;;;;
Mês: Fevereiro 2023;;;;;;;;;;;;
Unidades da Federação;Área (ha);;;Partic %;Var %;;Produção (t);;;partic %;Var %;
;2022;Janeiro;Fevereiro;;Anual;Mensal;2022;Janeiro;Fevereiro;;Anual;Mensal
BRASIL;73 243 659;75 793 895;75 830 487;100.0;3.5;0.0;263 154 606;301 953 765;298 029 264;100.0;13.3;-1.3
;;;;;;;;;;;;
NORTE;4 048 632;4 266 547;4 266 547;5.6;5.4;0.0;13 515 880;15 022 031;15 022 031;5.0;11.1;0.0
RONDÔNIA;847 193;925 019;925 019;1.2;9.2;0.0;3 359 810;3 639 782;3 639 782;1.2;8.3;0.0
ACRE;55 892;63 461;63 461;0.1;13.5;0.0;165 281;186 191;186 191;0.1;12.7;0.0
AMAZONAS;16 928;16 928;16 928;0.0;0.0;0.0;31 369;31 153;31 153;0.0;-0.7;0.0
RORAIMA;51 827;51 827;51 827;0.1;0.0;0.0;169 589;171 972;171 972;0.1;1.4;0.0
PARÁ;1 324 681;1 335 645;1 335 645;1.8;0.8;0.0;3 977 902;4 153 180;4 153 180;1.4;4.4;0.0
AMAPÁ;11 060;20 060;20 060;0.0;81.4;0.0;21 565;42 450;42 450;0.0;96.8;0.0
TOCANTINS;1 741 051;1 853 607;1 853 607;2.4;6.5;0.0;5 790 364;6 797 303;6 797 303;2.3;17.4;0.0
;;;;;;;;;;;;
NORDESTE;8 702 978;8 923 207;8 965 324;11.8;3.0;0.5;25 415 131;25 877 868;25 996 506;8.7;2.3;0.5
MARANHÃO;1 764 853;1 850 399;1 851 033;2.4;4.9;0.0;5 991 576;6 404 721;6 407 650;2.2;6.9;0.0
PIAUÍ;1 740 631;1 816 632;1 858 131;2.5;6.8;2.3;5 926 000;6 586 993;6 702 541;2.2;13.1;1.8
CEARÁ;965 978;1 002 745;1 002 729;1.3;3.8;-0.0;671 140;541 490;541 651;0.2;-19.3;0.0
RIO GRANDE DO NORTE;103 051;88 921;88 921;0.1;-13.7;0.0;56 914;48 379;48 379;0.0;-15.0;0.0
PARAÍBA;173 574;175 630;175 630;0.2;1.2;0.0;102 910;154 756;154 756;0.1;50.4;0.0
PERNAMBUCO;343 455;343 455;343 455;0.5;0.0;0.0;268 491;178 937;178 937;0.1;-33.4;0.0
ALAGOAS;49 200;96 036;96 036;0.1;95.2;0.0;105 057;181 979;181 979;0.1;73.2;0.0
SERGIPE;183 503;170 656;170 656;0.2;-7.0;0.0;931 336;791 808;791 808;0.3;-15.0;0.0
BAHIA;3 378 733;3 378 733;3 378 733;4.5;0.0;0.0;11 361 707;10 988 805;10 988 805;3.7;-3.3;0.0
;;;;;;;;;;;;
SUDESTE;6 595 632;6 634 655;6 634 655;8.7;0.6;0.0;27 827 543;28 105 923;28 105 923;9.4;1.0;0.0
MINAS GERAIS;3 999 304;4 074 594;4 074 594;5.4;1.9;0.0;17 050 708;17 593 212;17 593 212;5.9;3.2;0.0
ESPÍRITO SANTO;25 210;26 478;26 478;0.0;5.0;0.0;62 825;71 925;71 925;0.0;14.5;0.0
RIO DE JANEIRO;3 747;3 859;3 859;0.0;3.0;0.0;13 681;14 066;14 066;0.0;2.8;0.0
SÃO PAULO;2 567 371;2 529 724;2 529 724;3.3;-1.5;0.0;10 700 329;10 426 720;10 426 720;3.5;-2.6;0.0
;;;;;;;;;;;;
SUL;22 157 815;22 353 365;22 318 301;29.4;0.7;-0.2;65 701 673;91 064 662;87 131 838;29.2;32.6;-4.3
PARANÁ;10 779 286;10 655 676;10 671 257;14.1;-1.0;0.1;33 336 435;44 885 925;45 078 998;15.1;35.2;0.4
SANTA CATARINA;1 452 678;1 418 523;1 418 523;1.9;-2.4;0.0;6 074 067;6 834 740;6 834 740;2.3;12.5;0.0
RIO GRANDE DO SUL;9 925 851;10 279 166;10 228 521;13.5;3.0;-0.5;26 291 171;39 343 997;35 218 100;11.8;34.0;-10.5
;;;;;;;;;;;;
CENTRO-OESTE;31 738 602;33 616 121;33 645 660;44.4;6.0;0.1;130 694 379;141 883 281;141 772 966;47.6;8.5;-0.1
MATO GROSSO DO SUL;6 196 250;6 279 881;6 279 881;8.3;1.3;0.0;22 039 447;24 595 552;24 595 552;8.3;11.6;0.0
MATO GROSSO;18 935 855;20 648 519;20 648 519;27.2;9.0;0.0;80 686 020;88 547 452;88 547 452;29.7;9.7;0.0
GOIÁS;6 437 197;6 515 921;6 545 460;8.6;1.7;0.5;27 262 772;27 913 131;27 802 816;9.3;2.0;-0.4
DISTRITO FEDERAL;169 300;171 800;171 800;0.2;1.5;0.0;706 140;827 146;827 146;0.3;17.1;0.0
;;;;;;;;;;;;
FONTE: IBGE, Diretoria de Pesquisas, Coordenação Agropecuária, Levantamento Sistemático da Produção Agrícola, Fev/2023;;;;;;;;;;;;
NOTAS: Para as Unidades da Federação que ainda não dispõem das estimativas iniciais, os dados correspondem à uma;;;;;;;;;;;;
projeção obtida a partir das informações de anos anteriores;;;;;;;;;;;;
Área colhia ou a ser colhida e produção obtida ou a ser obtida;;;;;;;;;;;;
Produtos investigados: algodão (caroço de algodão), amendoim, arroz, aveia, centeio, cevada, feijão, girassol,;;;;;;;;;;;;
mamona, milho, soja, sorgo, trigo e triticale.;;;;;;;;;;;;
