Tabela 5 - Área e Produção de Cereais, Leguminosas e Oleaginosas;;;;;;;;;;;;
Brasil, Grandes Regiões e Unidades da Federação;;;;;;;;;;;;
Mês: Março 2023;;;;;;;;;;;;
Unidades da Federação;Área (ha);;;Partic %;Var %;;Produção (t);;;partic %;Var %;
;2022;Fevereiro;Março;;Anual;Mensal;2022;Fevereiro;Março;;Anual;Mensal
BRASIL;73 243 659;75 830 487;76 097 204;100.0;3.9;0.4;263 154 606;298 029 264;299 651 793;100.0;13.9;0.5
;;;;;;;;;;;;
NORTE;4 048 632;4 266 547;4 333 499;5.7;7.0;1.6;13 515 880;15 022 031;15 260 721;5.1;12.9;1.6
RONDÔNIA;847 193;925 019;991 971;1.3;17.1;7.2;3 359 810;3 639 782;3 877 292;1.3;15.4;6.5
ACRE;55 892;63 461;63 461;0.1;13.5;0.0;165 281;186 191;186 191;0.1;12.7;0.0
AMAZONAS;16 928;16 928;16 928;0.0;0.0;0.0;31 369;31 153;31 153;0.0;-0.7;0.0
RORAIMA;51 827;51 827;51 827;0.1;0.0;0.0;169 589;171 972;171 972;0.1;1.4;0.0
PARÁ;1 324 681;1 335 645;1 335 645;1.8;0.8;0.0;3 977 902;4 153 180;4 153 180;1.4;4.4;0.0
AMAPÁ;11 060;20 060;20 060;0.0;81.4;0.0;21 565;42 450;43 630;0.0;102.3;2.8
TOCANTINS;1 741 051;1 853 607;1 853 607;2.4;6.5;0.0;5 790 364;6 797 303;6 797 303;2.3;17.4;0.0
;;;;;;;;;;;;
NORDESTE;8 702 978;8 965 324;8 975 716;11.8;3.1;0.1;25 415 131;25 996 506;26 040 960;8.7;2.5;0.2
MARANHÃO;1 764 853;1 851 033;1 860 869;2.4;5.4;0.5;5 991 576;6 407 650;6 442 151;2.1;7.5;0.5
PIAUÍ;1 740 631;1 858 131;1 858 131;2.4;6.8;0.0;5 926 000;6 702 541;6 702 541;2.2;13.1;0.0
CEARÁ;965 978;1 002 729;1 003 285;1.3;3.9;0.1;671 140;541 651;551 604;0.2;-17.8;1.8
RIO GRANDE DO NORTE;103 051;88 921;88 921;0.1;-13.7;0.0;56 914;48 379;48 379;0.0;-15.0;0.0
PARAÍBA;173 574;175 630;175 630;0.2;1.2;0.0;102 910;154 756;154 756;0.1;50.4;0.0
PERNAMBUCO;343 455;343 455;343 455;0.5;0.0;0.0;268 491;178 937;178 937;0.1;-33.4;0.0
ALAGOAS;49 200;96 036;96 036;0.1;95.2;0.0;105 057;181 979;181 979;0.1;73.2;0.0
SERGIPE;183 503;170 656;170 656;0.2;-7.0;0.0;931 336;791 808;791 808;0.3;-15.0;0.0
BAHIA;3 378 733;3 378 733;3 378 733;4.4;0.0;0.0;11 361 707;10 988 805;10 988 805;3.7;-3.3;0.0
;;;;;;;;;;;;
SUDESTE;6 595 632;6 634 655;6 635 591;8.7;0.6;0.0;27 827 543;28 105 923;28 109 489;9.4;1.0;0.0
MINAS GERAIS;3 999 304;4 074 594;4 074 594;5.4;1.9;0.0;17 050 708;17 593 212;17 593 212;5.9;3.2;0.0
ESPÍRITO SANTO;25 210;26 478;27 414;0.0;8.7;3.5;62 825;71 925;75 491;0.0;20.2;5.0
RIO DE JANEIRO;3 747;3 859;3 859;0.0;3.0;0.0;13 681;14 066;14 066;0.0;2.8;0.0
SÃO PAULO;2 567 371;2 529 724;2 529 724;3.3;-1.5;0.0;10 700 329;10 426 720;10 426 720;3.5;-2.6;0.0
;;;;;;;;;;;;
SUL;22 157 815;22 318 301;22 339 309;29.4;0.8;0.1;65 701 673;87 131 838;84 349 467;28.1;28.4;-3.2
PARANÁ;10 779 286;10 671 257;10 723 738;14.1;-0.5;0.5;33 336 435;45 078 998;46 913 442;15.7;40.7;4.1
SANTA CATARINA;1 452 678;1 418 523;1 418 523;1.9;-2.4;0.0;6 074 067;6 834 740;6 834 740;2.3;12.5;0.0
RIO GRANDE DO SUL;9 925 851;10 228 521;10 197 048;13.4;2.7;-0.3;26 291 171;35 218 100;30 601 285;10.2;16.4;-13.1
;;;;;;;;;;;;
CENTRO-OESTE;31 738 602;33 645 660;33 813 089;44.4;6.5;0.5;130 694 379;141 772 966;145 891 156;48.7;11.6;2.9
MATO GROSSO DO SUL;6 196 250;6 279 881;6 279 881;8.3;1.3;0.0;22 039 447;24 595 552;24 595 552;8.2;11.6;0.0
MATO GROSSO;18 935 855;20 648 519;20 815 948;27.4;9.9;0.8;80 686 020;88 547 452;92 665 642;30.9;14.8;4.7
GOIÁS;6 437 197;6 545 460;6 545 460;8.6;1.7;0.0;27 262 772;27 802 816;27 802 816;9.3;2.0;0.0
DISTRITO FEDERAL;169 300;171 800;171 800;0.2;1.5;0.0;706 140;827 146;827 146;0.3;17.1;0.0
;;;;;;;;;;;;
FONTE: IBGE, Diretoria de Pesquisas, Coordenação Agropecuária, Levantamento Sistemático da Produção Agrícola, Mar/2023;;;;;;;;;;;;
NOTAS: Para as Unidades da Federação que ainda não dispõem das estimativas iniciais, os dados correspondem à uma;;;;;;;;;;;;
projeção obtida a partir das informações de anos anteriores;;;;;;;;;;;;
Área colhia ou a ser colhida e produção obtida ou a ser obtida;;;;;;;;;;;;
Produtos investigados: algodão (caroço de algodão), amendoim, arroz, aveia, centeio, cevada, feijão, girassol,;;;;;;;;;;;;
mamona, milho, soja, sorgo, trigo e triticale.;;;;;;;;;;;;
