Tabela 5 - Área e Produção de Cereais, Leguminosas e Oleaginosas;;;;;;;;;;;;
Brasil, Grandes Regiões e Unidades da Federação;;;;;;;;;;;;
Mês: Maio 2023;;;;;;;;;;;;
Unidades da Federação;Área (ha);;;Partic %;Var %;;Produção (t);;;partic %;Var %;
;2022;Abril;Maio;;Anual;Mensal;2022;Abril;Maio;;Anual;Mensal
BRASIL;73 243 659;76 363 740;76 601 479;100.0;4.6;0.3;263 154 606;302 122 007;305 392 064;100.0;16.1;1.1
;;;;;;;;;;;;
NORTE;4 048 632;4 284 047;4 315 207;5.6;6.6;0.7;13 515 880;15 118 535;15 341 856;5.0;13.5;1.5
RONDÔNIA;847 193;942 729;981 234;1.3;15.8;4.1;3 359 810;3 735 366;3 974 088;1.3;18.3;6.4
ACRE;55 892;63 461;63 766;0.1;14.1;0.5;165 281;186 191;189 934;0.1;14.9;2.0
AMAZONAS;16 928;16 928;16 928;0.0;0.0;0.0;31 369;31 153;31 153;0.0;-0.7;0.0
RORAIMA;51 827;51 827;51 827;0.1;0.0;0.0;169 589;171 972;171 972;0.1;1.4;0.0
PARÁ;1 324 681;1 335 645;1 335 645;1.7;0.8;0.0;3 977 902;4 153 180;4 153 180;1.4;4.4;0.0
AMAPÁ;11 060;19 850;12 200;0.0;10.3;-38.5;21 565;43 370;24 226;0.0;12.3;-44.1
TOCANTINS;1 741 051;1 853 607;1 853 607;2.4;6.5;0.0;5 790 364;6 797 303;6 797 303;2.2;17.4;0.0
;;;;;;;;;;;;
NORDESTE;8 702 978;8 986 522;8 997 989;11.7;3.4;0.1;25 415 131;26 137 505;26 262 908;8.6;3.3;0.5
MARANHÃO;1 764 853;1 860 871;1 870 539;2.4;6.0;0.5;5 991 576;6 442 152;6 483 021;2.1;8.2;0.6
PIAUÍ;1 740 631;1 855 686;1 855 686;2.4;6.6;0.0;5 926 000;6 708 550;6 708 550;2.2;13.2;0.0
CEARÁ;965 978;1 000 483;985 132;1.3;2.0;-1.5;671 140;635 983;675 050;0.2;0.6;6.1
RIO GRANDE DO NORTE;103 051;88 921;99 553;0.1;-3.4;12.0;56 914;48 379;59 959;0.0;5.4;23.9
PARAÍBA;173 574;191 681;191 681;0.3;10.4;0.0;102 910;160 912;160 912;0.1;56.4;0.0
PERNAMBUCO;343 455;343 455;343 455;0.4;0.0;0.0;268 491;178 937;178 937;0.1;-33.4;0.0
ALAGOAS;49 200;96 036;102 554;0.1;108.4;6.8;105 057;181 979;215 866;0.1;105.5;18.6
SERGIPE;183 503;170 656;170 656;0.2;-7.0;0.0;931 336;791 808;791 808;0.3;-15.0;0.0
BAHIA;3 378 733;3 378 733;3 378 733;4.4;0.0;0.0;11 361 707;10 988 805;10 988 805;3.6;-3.3;0.0
;;;;;;;;;;;;
SUDESTE;6 595 632;6 780 130;6 779 230;8.8;2.8;-0.0;27 827 543;29 030 887;29 025 547;9.5;4.3;-0.0
MINAS GERAIS;3 999 304;4 129 661;4 128 761;5.4;3.2;-0.0;17 050 708;18 016 478;18 011 138;5.9;5.6;-0.0
ESPÍRITO SANTO;25 210;27 555;27 555;0.0;9.3;0.0;62 825;75 758;75 758;0.0;20.6;0.0
RIO DE JANEIRO;3 747;3 988;3 988;0.0;6.4;0.0;13 681;15 318;15 318;0.0;12.0;0.0
SÃO PAULO;2 567 371;2 618 926;2 618 926;3.4;2.0;0.0;10 700 329;10 923 333;10 923 333;3.6;2.1;0.0
;;;;;;;;;;;;
SUL;22 157 815;22 312 672;22 404 736;29.2;1.1;0.4;65 701 673;84 645 590;83 361 724;27.3;26.9;-1.5
PARANÁ;10 779 286;10 670 838;10 671 373;13.9;-1.0;0.0;33 336 435;46 852 242;46 589 542;15.3;39.8;-0.6
SANTA CATARINA;1 452 678;1 444 786;1 444 786;1.9;-0.5;0.0;6 074 067;7 192 063;7 192 063;2.4;18.4;0.0
RIO GRANDE DO SUL;9 925 851;10 197 048;10 288 577;13.4;3.7;0.9;26 291 171;30 601 285;29 580 119;9.7;12.5;-3.3
;;;;;;;;;;;;
CENTRO-OESTE;31 738 602;34 000 369;34 104 317;44.5;7.5;0.3;130 694 379;147 189 490;151 400 029;49.6;15.8;2.9
MATO GROSSO DO SUL;6 196 250;6 279 881;6 199 907;8.1;0.1;-1.3;22 039 447;24 595 552;26 130 956;8.6;18.6;6.2
MATO GROSSO;18 935 855;20 815 948;20 952 773;27.4;10.7;0.7;80 686 020;92 665 642;95 037 919;31.1;17.8;2.6
GOIÁS;6 437 197;6 732 740;6 775 137;8.8;5.2;0.6;27 262 772;29 101 150;29 460 258;9.6;8.1;1.2
DISTRITO FEDERAL;169 300;171 800;176 500;0.2;4.3;2.7;706 140;827 146;770 896;0.3;9.2;-6.8
;;;;;;;;;;;;
FONTE: IBGE, Diretoria de Pesquisas, Coordenação Agropecuária, Levantamento Sistemático da Produção Agrícola, Mai/2023;;;;;;;;;;;;
NOTAS: Para as Unidades da Federação que ainda não dispõem das estimativas iniciais, os dados correspondem à uma;;;;;;;;;;;;
projeção obtida a partir das informações de anos anteriores;;;;;;;;;;;;
Área colhia ou a ser colhida e produção obtida ou a ser obtida;;;;;;;;;;;;
Produtos investigados: algodão (caroço de algodão), amendoim, arroz, aveia, centeio, cevada, feijão, girassol,;;;;;;;;;;;;
mamona, milho, soja, sorgo, trigo e triticale.;;;;;;;;;;;;
