Tabela 5 - Área e Produção de Cereais, Leguminosas e Oleaginosas;;;;;;;;;;;;
Brasil, Grandes Regiões e Unidades da Federação;;;;;;;;;;;;
Mês: Junho 2023;;;;;;;;;;;;
Unidades da Federação;Área (ha);;;Partic %;Var %;;Produção (t);;;partic %;Var %;
;2022;Maio;Junho;;Anual;Mensal;2022;Maio;Junho;;Anual;Mensal
BRASIL;73 243 659;76 601 479;76 948 209;100.0;5.1;0.5;263 154 606;305 392 064;307 305 876;100.0;16.8;0.6
;;;;;;;;;;;;
NORTE;4 048 632;4 315 207;4 415 137;5.7;9.1;2.3;13 515 880;15 341 856;15 765 214;5.1;16.6;2.8
RONDÔNIA;847 193;981 234;987 314;1.3;16.5;0.6;3 359 810;3 974 088;4 001 108;1.3;19.1;0.7
ACRE;55 892;63 766;63 766;0.1;14.1;0.0;165 281;189 934;189 934;0.1;14.9;0.0
AMAZONAS;16 928;16 928;16 928;0.0;0.0;0.0;31 369;31 153;31 153;0.0;-0.7;0.0
RORAIMA;51 827;51 827;51 827;0.1;0.0;0.0;169 589;171 972;171 972;0.1;1.4;0.0
PARÁ;1 324 681;1 335 645;1 308 615;1.7;-1.2;-2.0;3 977 902;4 153 180;4 244 372;1.4;6.7;2.2
AMAPÁ;11 060;12 200;12 136;0.0;9.7;-0.5;21 565;24 226;24 165;0.0;12.1;-0.3
TOCANTINS;1 741 051;1 853 607;1 974 551;2.6;13.4;6.5;5 790 364;6 797 303;7 102 510;2.3;22.7;4.5
;;;;;;;;;;;;
NORDESTE;8 702 978;8 997 989;8 989 125;11.7;3.3;-0.1;25 415 131;26 262 908;26 284 994;8.6;3.4;0.1
MARANHÃO;1 764 853;1 870 539;1 875 800;2.4;6.3;0.3;5 991 576;6 483 021;6 510 066;2.1;8.7;0.4
PIAUÍ;1 740 631;1 855 686;1 855 686;2.4;6.6;0.0;5 926 000;6 708 550;6 708 550;2.2;13.2;0.0
CEARÁ;965 978;985 132;974 132;1.3;0.8;-1.1;671 140;675 050;671 999;0.2;0.1;-0.5
RIO GRANDE DO NORTE;103 051;99 553;99 553;0.1;-3.4;0.0;56 914;59 959;59 959;0.0;5.4;0.0
PARAÍBA;173 574;191 681;191 681;0.2;10.4;0.0;102 910;160 912;160 912;0.1;56.4;0.0
PERNAMBUCO;343 455;343 455;343 455;0.4;0.0;0.0;268 491;178 937;178 937;0.1;-33.4;0.0
ALAGOAS;49 200;102 554;99 429;0.1;102.1;-3.0;105 057;215 866;213 958;0.1;103.7;-0.9
SERGIPE;183 503;170 656;170 656;0.2;-7.0;0.0;931 336;791 808;791 808;0.3;-15.0;0.0
BAHIA;3 378 733;3 378 733;3 378 733;4.4;0.0;0.0;11 361 707;10 988 805;10 988 805;3.6;-3.3;0.0
;;;;;;;;;;;;
SUDESTE;6 595 632;6 779 230;6 821 641;8.9;3.4;0.6;27 827 543;29 025 547;29 149 294;9.5;4.7;0.4
MINAS GERAIS;3 999 304;4 128 761;4 171 192;5.4;4.3;1.0;17 050 708;18 011 138;18 134 812;5.9;6.4;0.7
ESPÍRITO SANTO;25 210;27 555;27 665;0.0;9.7;0.4;62 825;75 758;76 136;0.0;21.2;0.5
RIO DE JANEIRO;3 747;3 988;3 858;0.0;3.0;-3.3;13 681;15 318;15 013;0.0;9.7;-2.0
SÃO PAULO;2 567 371;2 618 926;2 618 926;3.4;2.0;0.0;10 700 329;10 923 333;10 923 333;3.6;2.1;0.0
;;;;;;;;;;;;
SUL;22 157 815;22 404 736;22 404 736;29.1;1.1;0.0;65 701 673;83 361 724;83 361 724;27.1;26.9;0.0
PARANÁ;10 779 286;10 671 373;10 671 373;13.9;-1.0;0.0;33 336 435;46 589 542;46 589 542;15.2;39.8;0.0
SANTA CATARINA;1 452 678;1 444 786;1 444 786;1.9;-0.5;0.0;6 074 067;7 192 063;7 192 063;2.3;18.4;0.0
RIO GRANDE DO SUL;9 925 851;10 288 577;10 288 577;13.4;3.7;0.0;26 291 171;29 580 119;29 580 119;9.6;12.5;0.0
;;;;;;;;;;;;
CENTRO-OESTE;31 738 602;34 104 317;34 317 570;44.6;8.1;0.6;130 694 379;151 400 029;152 744 650;49.7;16.9;0.9
MATO GROSSO DO SUL;6 196 250;6 199 907;6 413 160;8.3;3.5;3.4;22 039 447;26 130 956;27 475 577;8.9;24.7;5.1
MATO GROSSO;18 935 855;20 952 773;20 952 773;27.2;10.7;0.0;80 686 020;95 037 919;95 037 919;30.9;17.8;0.0
GOIÁS;6 437 197;6 775 137;6 775 137;8.8;5.2;0.0;27 262 772;29 460 258;29 460 258;9.6;8.1;0.0
DISTRITO FEDERAL;169 300;176 500;176 500;0.2;4.3;0.0;706 140;770 896;770 896;0.3;9.2;0.0
;;;;;;;;;;;;
FONTE: IBGE, Diretoria de Pesquisas, Coordenação Agropecuária, Levantamento Sistemático da Produção Agrícola, Jun/2023;;;;;;;;;;;;
NOTAS: Para as Unidades da Federação que ainda não dispõem das estimativas iniciais, os dados correspondem à uma;;;;;;;;;;;;
projeção obtida a partir das informações de anos anteriores;;;;;;;;;;;;
Área colhia ou a ser colhida e produção obtida ou a ser obtida;;;;;;;;;;;;
Produtos investigados: algodão (caroço de algodão), amendoim, arroz, aveia, centeio, cevada, feijão, girassol,;;;;;;;;;;;;
mamona, milho, soja, sorgo, trigo e triticale.;;;;;;;;;;;;
